":START_ID",":TYPE",":END_ID","_json","http__//www.geneontology.org/formats/oboInOwl#hasDbXref:string[]","http__//www.geneontology.org/formats/oboInOwl#hasSynonymType:string[]","childRelationToParent:string[]","http__//www.geneontology.org/formats/oboInOwl#source:string[]","parentRelationToChild:string[]"
"gitissue502+class+http://purl.obolibrary.org/obo/BFO_0000002","http://www.w3.org/2002/07/owl#disjointWith","gitissue502+class+http://purl.obolibrary.org/obo/BFO_0000003","{}","","","","",""
"gitissue502+class+http://purl.obolibrary.org/obo/BFO_0000004","http://www.w3.org/2000/01/rdf-schema#subClassOf","gitissue502+class+http://purl.obolibrary.org/obo/BFO_0000002","{}","","","","",""
"gitissue502+class+http://purl.obolibrary.org/obo/BFO_0000004","directParent","gitissue502+class+http://purl.obolibrary.org/obo/BFO_0000002","{}","","","","",""
"gitissue502+class+http://purl.obolibrary.org/obo/BFO_0000004","http://www.w3.org/2002/07/owl#disjointWith","gitissue502+class+http://purl.obolibrary.org/obo/BFO_0000020","{}","","","","",""
"gitissue502+class+http://purl.obolibrary.org/obo/BFO_0000004","hierarchicalParent","gitissue502+class+http://purl.obolibrary.org/obo/BFO_0000002","{}","","","","",""
"gitissue502+class+http://purl.obolibrary.org/obo/BFO_0000015","http://www.w3.org/2000/01/rdf-schema#subClassOf","gitissue502+class+http://purl.obolibrary.org/obo/BFO_0000003","{}","","","","",""
"gitissue502+class+http://purl.obolibrary.org/obo/BFO_0000015","directParent","gitissue502+class+http://purl.obolibrary.org/obo/BFO_0000003","{}","","","","",""
"gitissue502+class+http://purl.obolibrary.org/obo/BFO_0000015","hierarchicalParent","gitissue502+class+http://purl.obolibrary.org/obo/BFO_0000003","{}","","","","",""
"gitissue502+class+http://purl.obolibrary.org/obo/BFO_0000016","http://www.w3.org/2000/01/rdf-schema#subClassOf","gitissue502+class+http://purl.obolibrary.org/obo/BFO_0000017","{}","","","","",""
"gitissue502+class+http://purl.obolibrary.org/obo/BFO_0000016","directParent","gitissue502+class+http://purl.obolibrary.org/obo/BFO_0000017","{}","","","","",""
"gitissue502+class+http://purl.obolibrary.org/obo/BFO_0000016","http://www.w3.org/2002/07/owl#disjointWith","gitissue502+class+http://purl.obolibrary.org/obo/BFO_0000023","{}","","","","",""
